domain,create_date,update_date,country,isDead,A,NS,CNAME,MX,TXT
facebook-business-confirmation.com,2023-05-08T04:21:30.370050,2023-05-08T04:21:30.370052,,False,,,,,
facebook-marketing.com,2023-05-08T04:21:30.370261,2023-05-08T04:21:30.370263,NL,False,['159.8.40.54'],"['ns2.eftydns.com', 'ns1.eftydns.com']",,"[{'exchange': 'mail.efty.com', 'priority': 10}]",['v=spf1 a mx ~all']
facebook-india.com,2023-05-05T11:31:13.767775,2023-05-05T11:31:13.767778,DE,False,['85.236.43.52'],"['ns03.domaincontrol.com', 'ns04.domaincontrol.com']",,,
facebook-ads.services,2023-05-05T11:29:21.396007,2023-05-05T11:29:21.396009,,False,,,,,
facebook-dl.com,2023-05-02T12:55:27.993346,2023-05-02T12:55:27.993348,,False,,,,,
facebook-dl.net,2023-05-01T05:01:24.211838,2023-05-01T05:01:24.211840,,False,,,,,
facebook-dl.pro,2023-05-01T05:01:05.627966,2023-05-01T05:01:05.627968,,False,,,,,
facebook-shorts.com,2023-04-29T20:01:17.160248,2023-04-29T20:01:17.160250,,False,,,,,
facebook-domain-verificationfvfxhtpmxr8lwfrdu3rkyjvcfx6r0j.com,2023-04-28T11:51:12.465225,2023-04-28T11:51:12.465227,,False,,,,,
facebook-360.com,2023-04-28T11:51:12.465022,2023-04-28T11:51:12.465024,,False,,,,,
business-facebook-app.com,2023-04-28T11:50:56.749959,2023-04-28T11:50:56.749962,,False,,,,,
facebook-verifica.com,2023-04-26T17:04:47.360671,2023-04-26T17:04:47.360673,,False,,,,,
facebook-petfinder-page.com,2023-04-25T08:56:54.969594,2023-04-25T08:56:54.969596,,False,,,,,
facebook-marketing.pro,2023-04-24T00:55:11.212047,2023-04-24T00:55:11.212049,,False,,,,,
facebook-online-marketing.de,2023-04-21T20:12:06.553626,2023-04-21T20:12:06.553628,,False,,,,,
facebook-massanger.sbs,2023-04-19T07:44:47.472904,2023-04-19T07:44:47.472906,,False,,,,,
facebook-community-protection-social.mom,2023-04-15T06:55:50.781814,2023-04-15T06:55:50.781816,,False,,,,,
facebook-information-page-community-protection-social-media.mom,2023-04-12T15:15:44.674300,2023-04-12T15:15:44.674303,,False,,,,,
facebook-page-information-community-protection-social-media.mom,2023-04-12T15:15:44.674495,2023-04-12T15:15:44.674498,,False,,,,,
facebook-gpt.com,2023-04-12T15:13:56.692135,2023-04-12T15:13:56.692137,,False,,,,,
facebook-bm.com,2023-04-12T15:13:56.691940,2023-04-12T15:13:56.691942,,False,,,,,
facebook-community-protection-social-media-page-information.mom,2023-04-11T07:04:19.589977,2023-04-11T07:04:19.589979,,False,,,,,
facebook-community-protection-social-media-information.mom,2023-04-11T07:04:19.589584,2023-04-11T07:04:19.589586,,False,,,,,
it-it-facebook-tab.com,2023-04-09T23:16:57.319623,2023-04-09T23:16:57.319626,,False,,,,,
facebook-reel.com,2023-04-09T23:16:50.301681,2023-04-09T23:16:50.301683,,False,,,,,
it-it-facebook-com.net,2023-03-27T16:31:43.997229,2023-03-27T16:31:43.997231,,False,,,,,
facebook-com.live,2023-03-23T13:45:23.283753,2023-03-23T13:45:23.283755,US,False,['52.72.49.79'],"['ns2.systemdns.com', 'ns3.systemdns.com', 'ns1.systemdns.com']",,,['v=spf1 -all']
facebook-com.email,2023-03-23T13:42:39.180047,2023-03-23T13:42:39.180049,,False,,,,,
facebook-com.vip,2023-03-23T13:41:57.642772,2023-03-23T13:41:57.642774,,False,,,,,
facebook-navi.com,2023-03-20T21:25:48.526867,2023-03-20T21:25:48.526869,JP,False,['210.172.183.49'],"['dns01.gmoserver.jp', 'dns02.gmoserver.jp']",,"[{'exchange': 'mx2.gmoserver.jp', 'priority': 10}]",['v=spf1 include:spf2.gmoserver.jp ~all']
facebook-help.com,2023-03-16T22:40:03.936155,2023-03-16T22:40:03.936157,,False,,"['ns758.hostsevenplus.com', 'ns759.hostsevenplus.com']",,,
facebook-authenticate.com,2023-03-16T22:40:03.935981,2023-03-16T22:40:03.935983,,False,,,,,
t-in-facebook-marketing-courses.life,2023-03-05T11:24:08.298984,2023-03-05T11:24:08.298987,,False,,,,,
o-in-facebook-marketing-courses.life,2023-03-05T11:24:08.232758,2023-03-05T11:24:08.232761,,False,,,,,
facebook-cdn.com,2023-03-02T17:23:24.794399,2023-03-02T17:23:24.794401,,False,,"['ns1.nsnodes.com', 'ns2.nsnodes.com']",,,
facebook-eshop.com,2023-03-01T08:08:44.939219,2023-03-01T08:08:44.939221,SK,False,['217.67.30.186'],"['ns.forpsi.cz', 'ns.forpsi.it', 'ns.forpsi.us', 'ns.forpsi.net']",,,
facebook-domain-verificationpaglcbu6e3uyfg6kqetok19x8e9q30.com,2023-02-26T16:31:41.805879,2023-02-26T16:31:41.805881,,False,,,,,
facebook-th.live,2023-02-25T08:27:33.680519,2023-02-25T08:27:33.680522,,False,,,,,
facebook-earn.com,2023-02-21T08:23:34.078289,2023-02-21T08:23:34.078291,,False,,,,,
facebook-partner.com,2023-02-20T00:12:12.203354,2023-02-20T00:12:12.203356,US,False,['50.63.202.60'],"['ns54.domaincontrol.com', 'ns53.domaincontrol.com']",,"[{'exchange': 'smtp.secureserver.net', 'priority': 0}, {'exchange': 'mailstore1.secureserver.net', 'priority': 10}]",
facebook-news.site,2023-02-17T07:11:56.105242,2023-02-17T07:11:56.105244,RU,False,['87.236.16.223'],"['ns1.beget.pro', 'ns2.beget.com', 'ns2.beget.pro', 'ns1.beget.com']",,"[{'exchange': 'mx2.beget.com', 'priority': 20}, {'exchange': 'mx1.beget.com', 'priority': 10}]",['v=spf1 redirect=beget.com']
facebook-times.com,2023-02-13T06:05:59.477361,2023-02-13T06:05:59.477363,,False,,,,,
facebook-15-conccellamentessence.com,2023-02-13T06:05:59.476955,2023-02-13T06:05:59.476957,,False,,,,,
facebook-euglenafruitole.com,2023-02-11T21:14:13.691777,2023-02-11T21:14:13.691779,,False,,,,,
facebook-chatgpt.com,2023-02-11T21:14:13.691597,2023-02-11T21:14:13.691599,,False,,,,,
facebook-223-impinch.shop,2023-02-11T21:13:05.777619,2023-02-11T21:13:05.777622,,False,,,,,
it-facebook-apk.com,2023-02-10T12:54:54.480064,2023-02-10T12:54:54.480066,,False,,,,,
facebook-review-status.com,2023-02-10T12:54:43.079337,2023-02-10T12:54:43.079339,,False,,,,,
facebook-impinch.com,2023-02-10T12:54:43.079159,2023-02-10T12:54:43.079161,,False,,,,,
facebook-domain-verificationsrk1ck3fwzobf1ebybwzou8gxu7ofz.com,2023-02-10T12:54:43.078956,2023-02-10T12:54:43.078958,,False,,,,,
